consolidated_symptom,umls,entity,regular_expression
abdominal pain,abdominal cramps,abdominal cramps|belly full|belly is full|belly is so full|belly was full|abdominal cramping,(abdominal cramp(ing|s)|belly (full|is (so )?full|was full))
abdominal pain,abdominal discomfort,"hernias|digestive distress|digestive :sparkles: distress|bellyache|abdominal distress|abdominal discomfort|gastro distress|stomach distress|stomach "" distress|intestinal discomfort|bodily discomfort","(abdominal dis(comfort|tress)|b(ellyache|odily discomfort)|digestive (:sparkles: )?distress|gastro distress|hernias|intestinal discomfort|stomach ("" )?distress)"
abdominal pain,abdominal pain,abdominal pain|abdominal ( gut ) pain|abdominal pain’|abdominal ( belly ) pain|abdominal . pain|pain in abdomen|pain in my abdomen|pain in your abdomen|pain in his abdomen|pain in the abdomen|pain in their abdomen|pain in her abdomen|appendix pain|abdomen pain|abdominal injury|abdominal pains|pain abdomen,(a(bdom(en pain|inal (( (belly|gut) ) pain|(. pain|injury)|pain[s’]?))|ppendix pain)|pain (abdomen|in (abdomen|h(er|is) abdomen|my abdomen|the(ir)? abdomen|your abdomen)))
abdominal pain,abdominal wall pain,belly pain|abdo pain|abdo - pain|abd pain|abd . pain,(abd( (. )?pain|o (- )?pain)|belly pain)
abdominal pain,abdominal wind pain,abdo pains,abdo pains
abdominal pain,acute abdominal pain,acute abdomen|inflamed appendix|acute abdominal pain,(acute abdom(e|inal pai)n|inflamed appendix)
abdominal pain,biliary colic,gallstones|gallstone,gallstones?
abdominal pain,burning epigastric pain,stomachs burning|stomach burning|stomach has been burning|stomach been burning|stomach was burning|stomach is burning,stomach( (b(een b)?urning|(has been|is|was) burning)|s burning)
abdominal pain,epigastric discomfort,stomach discomfort,stomach discomfort
abdominal pain,epigastric pain,gastric pain|gastric - pain|epigastric pain,(epigastric pain|gastric (- )?pain)
abdominal pain,"flatulence, eructation and gas pain",stomach bubbling|stomach is bubbling|stomach be bubbling|stomach been bubbling|stomach was bubbling|gi probs|uncontrolled flatulence|uncontrollable flatulence,(gi probs|stomach (b(e(en)? bubbling|ubbling)|(i|wa)s bubbling)|uncontroll(able|ed) flatulence)
abdominal pain,generalized abdominal pain,generalized pain,generalized pain
abdominal pain,hunger pain,hunger pangs|hunger pains|hunger pain,hunger pa(in|ngs)s?
abdominal pain,left sided abdominal pain,pain in left abdomen,pain in left abdomen
abdominal pain,lower abdominal pain,pain in my lower abdomen|pain in the lower abdomen|pain in lower abdomen|pain in her lower abdomen|pain in his lower abdomen|pain in your lower abdomen,pain in (h(er|is) lower abdomen|(my |the |your )?lower abdomen)
abdominal pain,nonspecific abdominal pain,gut pain|gut - pain,gut (- )?pain
abdominal pain,pancreatic pain,pancreatic damage|pancreas problem|pancreas problems|intestinal pain|pancreas damaged|pancreas damage|pancreas was damaged,(intestinal pain|pancrea(s (damaged?|problems?|was damaged)|tic damage))
