consolidated_symptom,umls,regex,entities
abdominal bloating,abdominal bloating,(abdominal bloating|bloated|hella bloated|stomach (is )?bloating),abdominal bloating|stomach is bloating|bloated|stomach bloating|hella bloated
abdominal bloating,swollen abdomen,swollen (abdomen|belly),swollen abdomen|swollen belly
abdominal pain,abdominal cramps,abdominal cramps,abdominal cramps
abdominal pain,abdominal discomfort,"(abdominal dis(comfort|tress)|gastro distress|hernias|intestinal discomfort|stomach ("" )?distress)","intestinal discomfort|stomach distress|hernias|gastro distress|abdominal discomfort|abdominal distress|stomach "" distress"
abdominal pain,abdominal pain,(abdom(en pain|inal (( (belly|gut) ) pain|. pain|pains?))|pain (abdomen|in (abdomen|h(er|is) abdomen|my abdomen|the(ir)? abdomen|your abdomen))),abdominal ( belly ) pain|abdominal pains|pain abdomen|pain in abdomen|pain in his abdomen|pain in my abdomen|pain in the abdomen|abdominal ( gut ) pain|pain in your abdomen|abdomen pain|abdominal pain|pain in her abdomen|abdominal . pain|pain in their abdomen
abdominal pain,acute abdominal pain,acute abdominal pain,acute abdominal pain
abdominal pain,burning epigastric pain,(burning epigastric pain|stomach( (b(een b)?urning|(has been|is|was) burning)|s burning)),stomach is burning|burning epigastric pain|stomach burning|stomach been burning|stomach has been burning|stomachs burning|stomach was burning
abdominal pain,epigastric discomfort,(epigastric|stomach) discomfort,stomach discomfort|epigastric discomfort
abdominal pain,epigastric pain,epigastric pain,epigastric pain
abdominal pain,"flatulence, eructation and gas pain","(flatulence, eructation and gas pain|uncontrollable flatulence)","flatulence, eructation and gas pain|uncontrollable flatulence"
abdominal pain,hunger pain,hunger pains?,hunger pains|hunger pain
abdominal pain,left sided abdominal pain,(left sided abdominal pai|pain in left abdome)n,left sided abdominal pain|pain in left abdomen
abdominal pain,liver pain,liver pain,liver pain
abdominal pain,lower abdominal pain,(lower abdominal pain|pain in (h(er|is) lower abdomen|(my |the |your )?lower abdomen)),lower abdominal pain|pain in the lower abdomen|pain in your lower abdomen|pain in lower abdomen|pain in her lower abdomen|pain in his lower abdomen|pain in my lower abdomen
abdominal pain,stomach ache,(#stomachache|hurting (my )?stomach|pain( in (h(er|is) stomach|my stomachs?|(the |your )?stomach)|s in (h(er|is) stomach|(my )?stomach|the(ir)? stomach))|stomach( (- aches?|. . . ache|ac(he|ting up)s?|be(en)? acting up|has been (acting up|in pain)|i(n pain|s (acting up|in (so much )?pain|pain(ing)?))|literally ache|pain(ing|s)?|was (acting up|in so much pain))|(e )?ache|s (ache|been acting up))),stomach is pain|#stomachache|stomach has been in pain|stomach be acting up|stomach paining|stomachs been acting up|stomach been acting up|stomach acting up|stomach is in pain|hurting my stomach|stomach is paining|pain in my stomach|pains in the stomach|stomache ache|pain in your stomach|stomachs ache|pains in stomach|stomach in pain|pains in my stomach|stomach is acting up|pains in his stomach|stomach - ache|pain in my stomachs|pain in the stomach|hurting stomach|stomach pain|pain in her stomach|stomach was in so much pain|stomach has been acting up|pain in stomach|stomach is in so much pain|stomach aches|stomachache|stomach pains|stomach . . . ache|pains in her stomach|stomach ache|pains in their stomach|stomach was acting up|stomach literally ache|stomach - aches|pain in his stomach
abdominal pain,stomach cramps,stomach( (a(ll|re) in knots|be( (feeling weird|in knots)|ing feeling weird)|c(hurn|lench(es)?|ramps)|feeling weird|has (been (feeling weird|in knots)|hurt)|i(n knots|s (all in knots|feeling weird|going to be in knots|in knots|literally in knots|really in knots|wrecked))|literally was in knots|w(as (in knots|wrecked)|recked))|s i(s i)?n knots),stomach in knots|stomachs is in knots|stomach has been feeling weird|stomach churn|stomach is in knots|stomach was wrecked|stomach literally was in knots|stomach is literally in knots|stomach feeling weird|stomachs in knots|stomach is wrecked|stomach is really in knots|stomach is all in knots|stomach is feeling weird|stomach clench|stomach all in knots|stomach be in knots|stomach be feeling weird|stomach has hurt|stomach are in knots|stomach was in knots|stomach cramps|stomach has been in knots|stomach is going to be in knots|stomach wrecked|stomach being feeling weird|stomach clenches
abdominal pain,upset stomach,(g(astr(ic|o) upsets?|i upsets?)|intestinal upset|runny stomachs?|stomach( (be(en upset|ing (so )?upset)|g(et( upset|s (super )?upset|ting really upset)|ot (really |so )?upset)|ha(d been upset|s been (so so so )?upset)|her stomach|is ((most likely|quite) upset|r(eal)?ly upset|(so |very )?upset)|my (stomach|tummy)|so upset|stomach(es|s)?|t(he stomach|ummy)s?|upsets?|very upset|was (really )?upset|your stomach)|es been upset|s ((are|been) upset|h(er (stomach|tummy)|is stomach)|(my stomach|so upset|their stomachs|upset|your stomach)))|upset( (her stomach|my (stomach|tummy)|stomach(es|s)?|t(he stomach|ummy)s?|your stomach)|s (h(er (stomach|tummy)|is stomach)|(my stomach|their stomachs|your stomach)))),stomach gets upset|stomach got upset|stomach was really upset|upsets his stomach|stomachs are upset|gastro upset|stomach is very upset|stomachs been upset|stomach so upset|stomach is most likely upset|upset her stomach|stomach was upset|upset your stomach|stomach got really upset|stomach get upset|upsets her tummy|stomachs so upset|upset the stomach|stomach got so upset|stomach had been upset|upset my tummy|upset stomach|intestinal upset|upsets my stomach|stomachs upset|runny stomachs|stomach being upset|stomach has been so so so upset|upsets your stomach|stomach being so upset|intestinal upsets|stomach upset|stomaches been upset|gi upsets|stomach is quite upset|upsets their stomachs|stomach gets super upset|upset tummys|upset tummy|gastric upsets|runny stomach|stomach getting really upset|gastric upset|stomach is upset|stomach is so upset|upset my stomach|stomach is really upset|upset stomaches|stomach upsets|stomach has been upset|stomach been upset|stomach is rly upset|stomach very upset|upset stomachs|upsets her stomach|gi upset
abnormal behavior,abnormal behavior,(abnormal behavior|behavioural problem)s?,behavioural problem|abnormal behavior|behavioural problems
abnormal breathing,abnormal breathing,"(abnormal breathing|b(ad ((- at -|at) breathing|breath(es?|(ing|s)?))|reathing (are bad|b(ad|e(en|ing so) bad)|d(i(fficulties|s(comfort|order)s?)|ysfunction)|erratic|has been (really |so |very )?bad|i(mpairment|s ((bad|erratic|quite bad|really bad)|so (bad|erratic)|very bad))|obstructions?|pattern disorder|really (is so |really )?bad|so (was )?bad|very bad|was ((bad|erratic|quite bad|really bad|so bad)|very (bad|erratic))))|change( in (my |your )?breathing|s in (her |my )?breathing)|d(i(fficults? in breathing|sordered breathing)|ysfunctional breathing)|h(a(d (issue breathing|problems? breathing)|s problems? breathing|v(e (issue breathing|problems? breathing)|ing (issue breathing|problem( breathing|s (with )?breathing|s breathing))))|ella trouble breathing)|i(mp(air( ("" |his |my |their |your )?breathing|ed (his |my )?breathing)|eded (my )?breathing)|rregular breathing|ssue( ((of )?breathing|with (breathing|h(er|is) breathing|(my|their) breathing))|s ((of )?breathing|with (breathing|h(er|is) breathing|(my|their|your) breathing))))|not breathing properly|obstruct(ed (their )?breathing|ing (his |their |your )?breathing)|problem( ((of |so much with )?breathing|with (breathing|h(er|is) breathing|(my|the|their|your) breathing))|s ((- |literally |my |of )?breathing|with (breathing|h(er|is) breathing|(my|their|your) breathing)))|struggle( (so much with breathing|with (breathing|h(er|is) breathing|(my|their|your) breathing))|s with (breathing|h(er|is) breathing|my breathing))|troubl(e( (("" |. |is )?breathing|with (breathing|h(er|is) breathing|(his|my|the|your) breathing))|d breathing|s (breathing|with (his |my |your )?breathing|your breathing))|ing breathing)|“ (bad breath|trouble breathing))","trouble with my breathing|bad breathes|bad breath|issues with her breathing|bad at breathing|problem with breathing|impair his breathing|issues with my breathing|breathing impairment|impair their breathing|struggles with breathing|struggles with his breathing|breathing are bad|difficults in breathing|had problem breathing|troubling breathing|issues of breathing|having problem breathing|had problems breathing|breathing has been bad|obstructing your breathing|impaired his breathing|problems of breathing|issues with his breathing|problems with my breathing|breathing disorder|problem breathing|problem with the breathing|impair "" breathing|breathing obstruction|problems breathing|issue with my breathing|hella trouble breathing|breathing is so bad|breathing so bad|not breathing properly|obstructing breathing|troubles with breathing|change in my breathing|breathing was bad|trouble with your breathing|breathing has been really bad|troubles with your breathing|problems with his breathing|trouble breathing|trouble with her breathing|impair my breathing|change in breathing|impeded my breathing|changes in breathing|having problems with breathing|breathing been bad|trouble with his breathing|breathing is erratic|bad breathe|struggle with your breathing|breathing was erratic|difficult in breathing|have problem breathing|obstructing his breathing|breathing is bad|breathing discomfort|struggle with her breathing|issue with breathing|problems my breathing|breathing was quite bad|obstructed their breathing|breathing obstructions|trouble with breathing|change in your breathing|issues with their breathing|impeded breathing|struggles with her breathing|disordered breathing|breathing was very bad|breathing erratic|breathing is so erratic|issue of breathing|obstructed breathing|problems with their breathing|“ bad breath|breathing was so bad|“ trouble breathing|breathing so was bad|issue with her breathing|issue with his breathing|changes in my breathing|had issue breathing|have issue breathing|troubles with my breathing|have problems breathing|having problems breathing|breathing really is so bad|has problem breathing|bad - at - breathing|breathing disorders|issues breathing|breathing has been so bad|breathing really bad|problems with breathing|impair breathing|problems with your breathing|trouble with the breathing|breathing has been very bad|struggle with their breathing|dysfunctional breathing|breathing bad|breathing difficulties|struggle with his breathing|breathing pattern disorder|issues with breathing|troubles your breathing|obstructing their breathing|abnormal breathing|problems literally breathing|issue breathing|problem with my breathing|struggle with my breathing|irregular breathing|breathing very bad|breathing was really bad|problems with her breathing|problems - breathing|bad breaths|impaired my breathing|issue with their breathing|problem of breathing|breathing really really bad|troubles with his breathing|breathing was very erratic|trouble . breathing|trouble is breathing|bad breathing|breathing dysfunction|struggle with breathing|issues with your breathing|breathing being so bad|troubles breathing|changes in her breathing|trouble "" breathing|impaired breathing|struggle so much with breathing|breathing is quite bad|impair your breathing|has problems breathing|breathing is very bad|having issue breathing|troubled breathing|breathing is really bad|struggles with my breathing"
abnormal breathing,acute respiratory distress,a(cute respiratory (- distress syndrome|distress)( syndrome)?|rds),acute respiratory distress|acute respiratory distress syndrome|acute respiratory - distress syndrome|ards
abnormal breathing,excessively deep breathing,(breathing (all heavy|h(as been h)?eavy|is (really |so |very )?heavy|really heavy|s(o heavy|uper (super )?heavy)|(too heavil|very heav)y|was (really |so )?heavy)|excessively deep breathing|heavy (( covid ) breathing|- breath(er|ing)|breath(e[rs]|(ing)?)|my breathing)),breathing so heavy|heavy breathing|breathing was heavy|breathing was so heavy|heavy - breather|heavy breath|breathing is so heavy|breathing all heavy|heavy ( covid ) breathing|breathing very heavy|heavy my breathing|breathing is very heavy|excessively deep breathing|heavy - breathing|breathing super heavy|breathing super super heavy|breathing heavy|breathing is heavy|breathing has been heavy|breathing was really heavy|heavy breather|breathing is really heavy|heavy breathes|breathing really heavy|breathing too heavily
abnormal breathing,labored breathing,(breathing (- labored|becomes (so |very )?labored|has been labou?red|is (labou?red|quite laboured|(so|very) labou?red)|labou?red|so labored|was (all labored|labou?red|(quite|really) labored|(so|very) labou?red))|hard( (- |is )?breathing|er breathing)|labo(r(ed (- |his |my )?breathing|ing to breathe)|ured breathing)|suck at breathing),suck at breathing|breathing becomes so labored|labored his breathing|breathing was labored|breathing becomes very labored|breathing is very laboured|laboured breathing|breathing is labored|breathing labored|breathing becomes labored|breathing is so laboured|harder breathing|breathing laboured|breathing so labored|breathing was very laboured|breathing was very labored|labored my breathing|labored breathing|laboring to breathe|labored - breathing|hard breathing|breathing was all labored|breathing has been laboured|breathing is very labored|breathing was so laboured|breathing was so labored|breathing is quite laboured|hard - breathing|breathing was laboured|breathing is laboured|breathing is so labored|breathing has been labored|breathing - labored|hard is breathing|breathing was quite labored|breathing was really labored
abnormal breathing,rapid shallow breathing,(breathing ((is )?fast|s(o|uper) fast|very fast)|rapid shallow breathing),breathing so fast|breathing super fast|breathing is fast|breathing fast|breathing very fast|rapid shallow breathing
abnormal breathing,slow shallow breathing,(intermittent shortness of breath|s(hortness (in|of) breathing|low( (my |shallow |the |your )?breathing|s (my |their |your )?breathing))),slows your breathing|slow shallow breathing|slows breathing|intermittent shortness of breath|slows my breathing|slows their breathing|shortness of breathing|shortness in breathing|slow breathing|slow my breathing|slow your breathing|slow the breathing
abnormal breathing,tachypnea,(hypercapnea|tachypno?ea),hypercapnea|tachypnoea|tachypnea
abnormal gait,general unsteadiness,(general unsteadiness|uncontrollable shak(es|ing)),uncontrollable shaking|general unsteadiness|uncontrollable shakes
abnormal gait,impaired mobility,impaired mobility,impaired mobility
abnormal gait,poor balance,(issues with (my )?balance|los(e( (balance|h(er|is) balance|(my|their|your) balance)|s (balance|h(er|is) balance))|ing (balance|h(er|is) balance|m(uch|y) balance|the(ir)? balance|your balance)|t (all (my )?balance|balance|h(er|is) balance|(its|my|your) balance))|off (- )?balance|p(oor balance|roblems with (my )?balance)),problems with balance|losing the balance|lost all balance|loses balance|losing her balance|lose her balance|lost its balance|lost his balance|lost all my balance|loses her balance|issues with my balance|lose your balance|lose their balance|off balance|losing their balance|lost her balance|problems with my balance|lose his balance|losing your balance|lost my balance|issues with balance|lost balance|losing balance|lose balance|lose my balance|loses his balance|off - balance|poor balance|lost your balance|losing my balance|losing much balance|losing his balance
abnormal gait,unsteady when standing,(ha(d|s|ve) trouble standing|unsteady when standing),has trouble standing|had trouble standing|unsteady when standing|have trouble standing
abnormal taste in mouth,abnormal taste in mouth,(abnormal taste in mouth|bad taste in (h(er|is) mouth|m(any mouths|outh|y mouth)|the(ir|y)? mouths?|your mouths?)|foul taste in (h(er|is) mouth|my mouth|the(ir)? mouths?|your mouth)|metal taste in (his mouth|m(y m)?outh|(thei|you)r mouth)),bad taste in his mouth|foul taste in their mouth|foul taste in his mouth|foul taste in your mouth|abnormal taste in mouth|bad taste in they mouth|bad taste in mouth|bad taste in their mouths|foul taste in the mouth|foul taste in my mouth|bad taste in their mouth|bad taste in many mouths|bad taste in my mouth|bad taste in her mouth|bad taste in your mouth|bad taste in the mouths|foul taste in their mouths|metal taste in your mouth|bad taste in the mouth|metal taste in his mouth|bad taste in your mouths|metal taste in my mouth|metal taste in their mouth|foul taste in her mouth|metal taste in mouth
activity intolerance,activity intolerance,((activity|exertion) intolerance|intolerances?),intolerance|exertion intolerance|activity intolerance|intolerances
acute respiratory distress,acute respiratory distress,"acute ("" respiratory "" illness|respiratory (distress|illness(es)?|syndromes))","acute respiratory illnesses|acute respiratory distress|acute respiratory illness|acute respiratory syndromes|acute "" respiratory "" illness"
altered bowel function,altered bowel function,(altered bowel function|b(locked bowels?|owel (infe|obstru)ctions?)|i(ntestinal (damage|obstruction)|rregular bowel movements?)|los(e( control of (my|their|your) bowels|s (all control of|control of its) bowels)|ing (all control of thei|control of you)r bowels|t control of (bowels|h(er|is) bowels|their bowels))|perforated bowels?),losing all control of their bowels|altered bowel function|bowel obstructions|lose control of your bowels|losing control of your bowels|lost control of bowels|intestinal obstruction|irregular bowel movements|lose control of my bowels|blocked bowel|lost control of his bowels|lost control of their bowels|bowel obstruction|bowel infection|perforated bowels|irregular bowel movement|loses control of its bowels|loses all control of bowels|intestinal damage|lost control of her bowels|perforated bowel|blocked bowels|lose control of their bowels
amenorrhea,amenorrhea,a(bsence of menstruation|menorrhea),amenorrhea|absence of menstruation
